base_name,perc_artificial
img_00597_p07_2019,0.29
img_00709_2019,0.31
img_00713_2019,3.14
img_00714_2019,0.00
img_00715_2019,3.33
img_00717_2019,0.00
img_00716_2019,0.00
img_00720_2019,0.00
img_00692_p02_2019,0.00
img_00597_p08_2019,0.23
img_00692_p01_2019,0.00
img_00719_2019,0.06
img_00644_p04_2019,0.55
img_00644_p03_2019,0.22
img_00723_2019,0.00
img_00648_p03_2019,0.00
img_00597_p02_2019,0.50
img_00722_2019,0.00
img_00648_p02_2019,0.00
img_00726_2019,0.00
img_00724_2019,0.00
img_00721_2019,0.00
img_00644_p01_2019,0.00
img_00725_2019,0.00
img_00727_2019,0.00
img_00712_2019,0.11
img_00731_2019,0.00
img_00736_2019,0.00
img_00728_2019,0.00
img_00733_2019,0.00
img_00735_2019,0.00
img_00739_2019,0.00
img_00597_p05_2019,0.11
img_00732_2019,0.00
img_00718_2019,0.00
img_00745_2019,0.00
img_00741_2019,0.00
img_00730_2019,0.01
img_00742_2019,0.00
img_00740_2019,0.00
img_00747_2019,0.00
img_00750_2019,0.00
img_00746_2019,0.00
img_00743_2019,0.00
img_00744_2019,0.00
img_00738_2019,0.00
img_00617_p01_2019,3.93
img_00751_2019,0.28
img_00617_p03_2019,0.00
img_00644_p06_2019,1.20
img_00752_2019,0.00
img_00697_p01_2019,0.45
img_00749_2019,0.00
img_00748_2019,0.01
img_00617_p04_2019,0.22
img_00759_2019,0.00
img_00753_2019,0.00
img_00644_p02_2019,0.47
img_00756_2019,0.00
img_00617_p05_2019,1.63
img_00617_p02_2019,4.37
img_00644_p05_2019,0.43
img_00757_2019,0.00
img_00762_2019,0.00
img_00754_2019,0.00
img_00758_2019,0.00
img_00764_2019,0.00
img_00617_p07_2019,0.00
img_00760_2019,0.00
img_00763_2019,0.00
img_00767_2019,0.00
img_00768_2019,0.00
